,Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,weekday,dayofyear,day_of_week,Product_type,Year,Date
547,2013-08-02,0.0,31.4375,7,,1308021.0,1.0,117.359342094889,0.0,4,214,Friday,Bread,2013,2013-08-02
552,2013-08-03,4.0,23.3625,11,63.0,1308031.0,1.0,186.027178770079,0.0,5,215,Saturday,Bread,2013,2013-08-03
557,2013-08-04,3.0,23.05,8,,1308041.0,1.0,104.708216687715,0.0,6,216,Sunday,Bread,2013,2013-08-04
562,2013-08-05,0.0,25.8,10,,1308051.0,1.0,146.775309890073,0.0,0,217,Monday,Bread,2013,2013-08-05
566,2013-08-06,5.0,22.225,13,,1308061.0,1.0,131.956277381283,0.0,1,218,Tuesday,Bread,2013,2013-08-06
571,2013-08-07,4.0,19.2125,8,,1308071.0,1.0,160.593417296116,0.0,2,219,Wednesday,Bread,2013,2013-08-07
576,2013-08-08,7.0,16.975,12,20.0,1308081.0,1.0,153.099424561652,0.0,3,220,Thursday,Bread,2013,2013-08-08
581,2013-08-09,4.0,20.3375,10,21.0,1308091.0,1.0,125.620344387906,0.0,4,221,Friday,Bread,2013,2013-08-09
586,2013-08-10,7.0,19.3625,12,61.0,1308101.0,1.0,185.177162656408,0.0,5,222,Saturday,Bread,2013,2013-08-10
591,2013-08-11,7.0,16.3875,9,61.0,1308111.0,1.0,73.2088330039992,0.0,6,223,Sunday,Bread,2013,2013-08-11
596,2013-08-12,7.0,16.45,11,63.0,1308121.0,1.0,154.504729536697,0.0,0,224,Monday,Bread,2013,2013-08-12
601,2013-08-13,3.0,16.4,16,95.0,1308131.0,1.0,134.064451548102,0.0,1,225,Tuesday,Bread,2013,2013-08-13
606,2013-08-14,4.0,18.2625,18,61.0,1308141.0,1.0,156.972510536869,0.0,2,226,Wednesday,Bread,2013,2013-08-14
611,2013-08-15,3.0,19.8,8,,1308151.0,1.0,164.763795399756,0.0,3,227,Thursday,Bread,2013,2013-08-15
616,2013-08-16,4.0,23.575,11,0.0,1308161.0,1.0,147.79799759804,0.0,4,228,Friday,Bread,2013,2013-08-16
621,2013-08-17,6.0,20.55,7,0.0,1308171.0,1.0,221.630418006017,0.0,5,229,Saturday,Bread,2013,2013-08-17
626,2013-08-18,7.0,18.5875,10,63.0,1308181.0,1.0,92.489778506026,0.0,6,230,Sunday,Bread,2013,2013-08-18
631,2013-08-19,5.0,18.4875,8,,1308191.0,1.0,145.87913275728,0.0,0,231,Monday,Bread,2013,2013-08-19
636,2013-08-20,7.0,17.775,8,61.0,1308201.0,1.0,111.842396126739,0.0,1,232,Tuesday,Bread,2013,2013-08-20
641,2013-08-21,5.0,20.125,8,,1308211.0,1.0,125.336522713024,0.0,2,233,Wednesday,Bread,2013,2013-08-21
646,2013-08-22,4.0,21.6625,8,,1308221.0,1.0,132.916428220302,0.0,3,234,Thursday,Bread,2013,2013-08-22
651,2013-08-23,1.0,22.0375,14,,1308231.0,1.0,162.958958703106,0.0,4,235,Friday,Bread,2013,2013-08-23
656,2013-08-24,0.0,20.85,16,5.0,1308241.0,1.0,201.543109556297,0.0,5,236,Saturday,Bread,2013,2013-08-24
661,2013-08-25,0.0,21.3875,16,5.0,1308251.0,1.0,83.0226725739551,0.0,6,237,Sunday,Bread,2013,2013-08-25
666,2013-08-26,0.0,20.125,15,5.0,1308261.0,1.0,165.829031676714,0.0,0,238,Monday,Bread,2013,2013-08-26
671,2013-08-27,1.0,21.0875,12,,1308271.0,1.0,118.473650434102,0.0,1,239,Tuesday,Bread,2013,2013-08-27
676,2013-08-28,0.0,21.3,7,,1308281.0,1.0,108.876991442649,0.0,2,240,Wednesday,Bread,2013,2013-08-28
681,2013-08-29,3.0,20.2125,11,,1308291.0,1.0,178.178023803315,0.0,3,241,Thursday,Bread,2013,2013-08-29
686,2013-08-30,6.0,19.7875,8,5.0,1308301.0,1.0,133.150828452892,0.0,4,242,Friday,Bread,2013,2013-08-30
691,2013-08-31,5.0,18.35,16,21.0,1308311.0,1.0,130.821314898435,0.0,5,243,Saturday,Bread,2013,2013-08-31
696,2013-09-01,7.0,15.8625,16,61.0,1309011.0,1.0,95.9704314892471,0.0,6,244,Sunday,Bread,2013,2013-09-01
701,2013-09-02,7.0,16.575,17,63.0,1309021.0,1.0,138.408723210465,0.0,0,245,Monday,Bread,2013,2013-09-02
706,2013-09-03,7.0,18.225,11,21.0,1309031.0,1.0,138.825618927843,0.0,1,246,Tuesday,Bread,2013,2013-09-03
711,2013-09-04,7.0,18.125,5,,1309041.0,1.0,100.221969526295,0.0,2,247,Wednesday,Bread,2013,2013-09-04
716,2013-09-05,0.0,21.7,8,,1309051.0,1.0,173.658100347255,0.0,3,248,Thursday,Bread,2013,2013-09-05
721,2013-09-06,0.0,24.7,9,,1309061.0,1.0,171.415179710314,0.0,4,249,Friday,Bread,2013,2013-09-06
726,2013-09-07,6.0,22.7625,7,,1309071.0,1.0,186.034060963767,0.0,5,250,Saturday,Bread,2013,2013-09-07
731,2013-09-08,7.0,20.1625,8,61.0,1309081.0,1.0,88.8925958109828,0.0,6,251,Sunday,Bread,2013,2013-09-08
736,2013-09-09,8.0,11.575,11,63.0,1309091.0,1.0,169.359968504942,0.0,0,252,Monday,Bread,2013,2013-09-09
741,2013-09-10,6.0,13.5875,11,65.0,1309101.0,1.0,89.6944536084346,0.0,1,253,Tuesday,Bread,2013,2013-09-10
746,2013-09-11,6.0,13.9,8,61.0,1309111.0,1.0,103.363686559795,0.0,2,254,Wednesday,Bread,2013,2013-09-11
751,2013-09-12,6.0,16.1125,6,61.0,1309121.0,1.0,106.474399987548,0.0,3,255,Thursday,Bread,2013,2013-09-12
756,2013-09-13,6.0,17.4375,5,21.0,1309131.0,1.0,122.564626199915,0.0,4,256,Friday,Bread,2013,2013-09-13
761,2013-09-14,5.0,17.625,10,63.0,1309141.0,1.0,174.938807466572,0.0,5,257,Saturday,Bread,2013,2013-09-14
766,2013-09-15,7.0,14.8625,10,21.0,1309151.0,1.0,55.1960062296304,0.0,6,258,Sunday,Bread,2013,2013-09-15
771,2013-09-16,3.0,13.1375,13,21.0,1309161.0,1.0,146.760234890658,0.0,0,259,Monday,Bread,2013,2013-09-16
776,2013-09-17,5.0,13.1375,10,63.0,1309171.0,1.0,136.118044538363,0.0,1,260,Tuesday,Bread,2013,2013-09-17
781,2013-09-18,4.0,13.05,9,,1309181.0,1.0,152.255085210606,0.0,2,261,Wednesday,Bread,2013,2013-09-18
786,2013-09-19,5.0,14.8375,11,63.0,1309191.0,1.0,148.674992078993,0.0,3,262,Thursday,Bread,2013,2013-09-19
791,2013-09-20,7.0,13.525,6,,1309201.0,1.0,110.159250328825,0.0,4,263,Friday,Bread,2013,2013-09-20
796,2013-09-21,7.0,15.35,9,,1309211.0,1.0,178.263887943827,0.0,5,264,Saturday,Bread,2013,2013-09-21
801,2013-09-22,6.0,17.1375,14,21.0,1309221.0,1.0,86.6668973821597,0.0,6,265,Sunday,Bread,2013,2013-09-22
806,2013-09-23,7.0,17.3125,14,21.0,1309231.0,1.0,111.128410563554,0.0,0,266,Monday,Bread,2013,2013-09-23
811,2013-09-24,8.0,15.7375,10,,1309241.0,1.0,139.64144576808,0.0,1,267,Tuesday,Bread,2013,2013-09-24
816,2013-09-25,6.0,13.5375,7,61.0,1309251.0,1.0,117.94119333604,0.0,2,268,Wednesday,Bread,2013,2013-09-25
821,2013-09-26,1.0,12.9875,12,,1309261.0,1.0,203.314345156607,0.0,3,269,Thursday,Bread,2013,2013-09-26
826,2013-09-27,5.0,13.0125,8,21.0,1309271.0,1.0,135.507291692088,0.0,4,270,Friday,Bread,2013,2013-09-27
831,2013-09-28,0.0,13.1,8,,1309281.0,1.0,134.613756840197,0.0,5,271,Saturday,Bread,2013,2013-09-28
836,2013-09-29,3.0,14.175,12,,1309291.0,1.0,68.6316896995448,0.0,6,272,Sunday,Bread,2013,2013-09-29
841,2013-09-30,1.0,12.825,14,,1309301.0,1.0,156.502435955326,0.0,0,273,Monday,Bread,2013,2013-09-30
846,2013-10-01,0.0,12.9125,13,5.0,1310011.0,1.0,123.397540137977,0.0,1,274,Tuesday,Bread,2013,2013-10-01
851,2013-10-02,1.0,12.7,10,,1310021.0,1.0,196.720969158391,0.0,2,275,Wednesday,Bread,2013,2013-10-02
856,2013-10-03,0.0,11.7625,12,5.0,1310031.0,1.0,75.2337302417469,0.0,3,276,Thursday,Bread,2013,2013-10-03
861,2013-10-04,5.0,11.2,8,63.0,1310041.0,1.0,156.066122625816,0.0,4,277,Friday,Bread,2013,2013-10-04
866,2013-10-05,7.0,15.575,8,20.0,1310051.0,1.0,152.280762053885,0.0,5,278,Saturday,Bread,2013,2013-10-05
871,2013-10-06,7.0,15.25,6,,1310061.0,1.0,92.4805772695364,0.0,6,279,Sunday,Bread,2013,2013-10-06
876,2013-10-07,1.0,16.275,7,,1310071.0,1.0,124.841544023845,0.0,0,280,Monday,Bread,2013,2013-10-07
881,2013-10-08,6.0,15.1125,8,61.0,1310081.0,1.0,96.867100978839,0.0,1,281,Tuesday,Bread,2013,2013-10-08
886,2013-10-09,7.0,14.3125,10,21.0,1310091.0,1.0,149.761758936995,0.0,2,282,Wednesday,Bread,2013,2013-10-09
891,2013-10-10,5.0,10.975,6,,1310101.0,1.0,119.300284972145,0.0,3,283,Thursday,Bread,2013,2013-10-10
896,2013-10-11,7.0,13.8625,20,10.0,1310111.0,1.0,123.2348187168,0.0,4,284,Friday,Bread,2013,2013-10-11
901,2013-10-12,8.0,13.025,21,63.0,1310121.0,1.0,140.262421715801,0.0,5,285,Saturday,Bread,2013,2013-10-12
906,2013-10-13,5.0,10.8625,5,,1310131.0,1.0,42.9967926268111,0.0,6,286,Sunday,Bread,2013,2013-10-13
911,2013-10-14,2.0,12.525,6,,1310141.0,1.0,109.863744271226,0.0,0,287,Monday,Bread,2013,2013-10-14
916,2013-10-15,7.0,10.6625,4,63.0,1310151.0,1.0,130.431802598324,0.0,1,288,Tuesday,Bread,2013,2013-10-15
921,2013-10-16,8.0,12.275,7,,1310161.0,1.0,146.070583461057,0.0,2,289,Wednesday,Bread,2013,2013-10-16
926,2013-10-17,7.0,12.0,15,65.0,1310171.0,1.0,89.9411837855476,0.0,3,290,Thursday,Bread,2013,2013-10-17
931,2013-10-18,1.0,9.075,9,,1310181.0,1.0,111.233698203856,0.0,4,291,Friday,Bread,2013,2013-10-18
936,2013-10-19,7.0,9.45,9,,1310191.0,1.0,121.590860465012,0.0,5,292,Saturday,Bread,2013,2013-10-19
941,2013-10-20,7.0,15.1875,8,21.0,1310201.0,1.0,70.1419855298474,0.0,6,293,Sunday,Bread,2013,2013-10-20
946,2013-10-21,7.0,14.2625,8,61.0,1310211.0,1.0,122.987868193302,0.0,0,294,Monday,Bread,2013,2013-10-21
951,2013-10-22,2.0,17.6375,7,,1310221.0,1.0,111.927088663048,0.0,1,295,Tuesday,Bread,2013,2013-10-22
956,2013-10-23,6.0,17.675,9,,1310231.0,1.0,125.816016210178,0.0,2,296,Wednesday,Bread,2013,2013-10-23
961,2013-10-24,5.0,12.6875,12,61.0,1310241.0,1.0,123.163406361057,0.0,3,297,Thursday,Bread,2013,2013-10-24
967,2013-10-25,7.0,11.8875,7,61.0,1310251.0,1.0,113.661858634409,0.0,4,298,Friday,Bread,2013,2013-10-25
973,2013-10-26,5.0,16.775,10,21.0,1310261.0,1.0,161.678805315967,0.0,5,299,Saturday,Bread,2013,2013-10-26
979,2013-10-27,6.0,14.9875,16,65.0,1310271.0,1.0,102.355195816072,0.0,6,300,Sunday,Bread,2013,2013-10-27
985,2013-10-28,7.0,14.3625,29,63.0,1310281.0,1.0,129.482192717092,0.0,0,301,Monday,Bread,2013,2013-10-28
990,2013-10-29,7.0,10.775,17,63.0,1310291.0,1.0,112.285893935052,0.0,1,302,Tuesday,Bread,2013,2013-10-29
996,2013-10-30,6.0,10.4375,10,61.0,1310301.0,1.0,121.506077008915,0.0,2,303,Wednesday,Bread,2013,2013-10-30
1002,2013-10-31,5.0,11.1625,13,21.0,1310311.0,1.0,133.723541287582,0.0,3,304,Thursday,Bread,2013,2013-10-31
1008,2013-11-01,8.0,10.625,9,63.0,1311011.0,1.0,100.182160485504,0.0,4,305,Friday,Bread,2013,2013-11-01
1014,2013-11-02,8.0,8.8875,3,63.0,1311021.0,1.0,149.172348030766,0.0,5,306,Saturday,Bread,2013,2013-11-02
1020,2013-11-03,6.0,10.7,15,21.0,1311031.0,1.0,97.4532740046654,0.0,6,307,Sunday,Bread,2013,2013-11-03
1026,2013-11-04,7.0,6.8375,7,63.0,1311041.0,1.0,137.864260444157,0.0,0,308,Monday,Bread,2013,2013-11-04
1031,2013-11-05,4.0,8.9,12,61.0,1311051.0,1.0,103.700267261952,0.0,1,309,Tuesday,Bread,2013,2013-11-05
1037,2013-11-06,4.0,8.1375,12,63.0,1311061.0,1.0,109.097001107423,0.0,2,310,Wednesday,Bread,2013,2013-11-06
1043,2013-11-07,6.0,9.5,10,61.0,1311071.0,1.0,118.470603286455,0.0,3,311,Thursday,Bread,2013,2013-11-07
1049,2013-11-08,3.0,9.325,9,,1311081.0,1.0,132.796244239256,0.0,4,312,Friday,Bread,2013,2013-11-08
1055,2013-11-09,5.0,7.7,16,63.0,1311091.0,1.0,99.9317959514759,0.0,5,313,Saturday,Bread,2013,2013-11-09
1061,2013-11-10,2.0,6.9875,12,63.0,1311101.0,1.0,108.561660295105,0.0,6,314,Sunday,Bread,2013,2013-11-10
1067,2013-11-11,2.0,8.3125,5,,1311111.0,1.0,124.580485617569,0.0,0,315,Monday,Bread,2013,2013-11-11
1073,2013-11-12,7.0,5.9375,9,61.0,1311121.0,1.0,111.970870543294,0.0,1,316,Tuesday,Bread,2013,2013-11-12
1079,2013-11-13,1.0,8.8,12,0.0,1311131.0,1.0,78.0382483442215,0.0,2,317,Wednesday,Bread,2013,2013-11-13
1085,2013-11-14,5.0,6.9375,9,21.0,1311141.0,1.0,121.180219705286,0.0,3,318,Thursday,Bread,2013,2013-11-14
1091,2013-11-15,7.0,6.45,6,21.0,1311151.0,1.0,122.76929773359,0.0,4,319,Friday,Bread,2013,2013-11-15
1097,2013-11-16,8.0,8.875,12,,1311161.0,1.0,126.793397398979,0.0,5,320,Saturday,Bread,2013,2013-11-16
1103,2013-11-17,2.0,8.8875,8,0.0,1311171.0,1.0,74.3945185864517,0.0,6,321,Sunday,Bread,2013,2013-11-17
1109,2013-11-18,7.0,6.65,5,63.0,1311181.0,1.0,129.109032642028,0.0,0,322,Monday,Bread,2013,2013-11-18
1115,2013-11-19,8.0,5.8375,8,61.0,1311191.0,1.0,106.906118646237,0.0,1,323,Tuesday,Bread,2013,2013-11-19
1121,2013-11-20,6.0,3.85,6,,1311201.0,1.0,124.324612351715,0.0,2,324,Wednesday,Bread,2013,2013-11-20
1127,2013-11-21,2.0,3.275,8,10.0,1311211.0,1.0,144.359927455555,0.0,3,325,Thursday,Bread,2013,2013-11-21
1133,2013-11-22,7.0,5.375,10,21.0,1311221.0,1.0,107.962731413831,0.0,4,326,Friday,Bread,2013,2013-11-22
1139,2013-11-23,3.0,4.9125,6,,1311231.0,1.0,96.5196766761341,0.0,5,327,Saturday,Bread,2013,2013-11-23
1145,2013-11-24,0.0,4.6,16,,1311241.0,1.0,76.4120061231823,0.0,6,328,Sunday,Bread,2013,2013-11-24
1151,2013-11-25,0.0,3.7,10,,1311251.0,1.0,129.81992805086,0.0,0,329,Monday,Bread,2013,2013-11-25
1157,2013-11-26,2.0,2.3125,6,,1311261.0,1.0,123.431703158233,0.0,1,330,Tuesday,Bread,2013,2013-11-26
1163,2013-11-27,8.0,7.3125,12,61.0,1311271.0,1.0,93.5321454303922,0.0,2,331,Wednesday,Bread,2013,2013-11-27
1169,2013-11-28,2.0,8.025,18,,1311281.0,1.0,128.842426194061,0.0,3,332,Thursday,Bread,2013,2013-11-28
1175,2013-11-29,8.0,5.9875,11,63.0,1311291.0,1.0,104.966463375073,0.0,4,333,Friday,Bread,2013,2013-11-29
1181,2013-11-30,7.0,5.525,10,20.0,1311301.0,1.0,104.09003869481,0.0,5,334,Saturday,Bread,2013,2013-11-30
1186,2013-12-01,5.0,8.6625,20,61.0,1312011.0,1.0,68.0762231823542,0.0,6,335,Sunday,Bread,2013,2013-12-01
1192,2013-12-02,0.0,3.0625,4,10.0,1312021.0,1.0,113.931498716313,0.0,0,336,Monday,Bread,2013,2013-12-02
1198,2013-12-03,8.0,1.7125,6,28.0,1312031.0,1.0,94.7658652080226,0.0,1,337,Tuesday,Bread,2013,2013-12-03
1204,2013-12-04,7.0,5.85,11,63.0,1312041.0,1.0,128.922855106228,0.0,2,338,Wednesday,Bread,2013,2013-12-04
1210,2013-12-05,7.0,4.4625,24,63.0,1312051.0,1.0,120.974699669869,0.0,3,339,Thursday,Bread,2013,2013-12-05
1216,2013-12-06,6.0,1.7875,25,73.0,1312061.0,1.0,112.015650593347,0.0,4,340,Friday,Bread,2013,2013-12-06
1222,2013-12-07,5.0,1.0,11,22.0,1312071.0,1.0,121.408564819885,0.0,5,341,Saturday,Bread,2013,2013-12-07
1228,2013-12-08,8.0,6.975,16,63.0,1312081.0,1.0,36.2650169585334,0.0,6,342,Sunday,Bread,2013,2013-12-08
1234,2013-12-09,7.0,9.2375,10,45.0,1312091.0,1.0,134.680550018524,0.0,0,343,Monday,Bread,2013,2013-12-09
1240,2013-12-10,7.0,7.1875,8,61.0,1312101.0,1.0,104.352034970751,0.0,1,344,Tuesday,Bread,2013,2013-12-10
1246,2013-12-11,7.0,5.025,9,10.0,1312111.0,1.0,85.9079819233536,0.0,2,345,Wednesday,Bread,2013,2013-12-11
1252,2013-12-12,8.0,2.525,8,28.0,1312121.0,1.0,88.2075449690532,0.0,3,346,Thursday,Bread,2013,2013-12-12
1258,2013-12-13,7.0,3.5375,6,61.0,1312131.0,1.0,85.5324935340658,0.0,4,347,Friday,Bread,2013,2013-12-13
1263,2013-12-14,7.0,3.0125,7,61.0,1312141.0,1.0,120.787742012371,0.0,5,348,Saturday,Bread,2013,2013-12-14
1268,2013-12-15,8.0,7.925,12,61.0,1312151.0,1.0,71.5352172710921,0.0,6,349,Sunday,Bread,2013,2013-12-15
1274,2013-12-16,8.0,8.775,12,,1312161.0,1.0,120.791211521354,0.0,0,350,Monday,Bread,2013,2013-12-16
1280,2013-12-17,8.0,4.95,8,61.0,1312171.0,1.0,74.6283250889016,0.0,1,351,Tuesday,Bread,2013,2013-12-17
1286,2013-12-18,7.0,6.85,8,10.0,1312181.0,1.0,86.4115250991858,0.0,2,352,Wednesday,Bread,2013,2013-12-18
1292,2013-12-19,7.0,7.4,10,63.0,1312191.0,1.0,101.589644453608,0.0,3,353,Thursday,Bread,2013,2013-12-19
1298,2013-12-20,7.0,5.2875,10,61.0,1312201.0,1.0,114.601001275823,0.0,4,354,Friday,Bread,2013,2013-12-20
1304,2013-12-21,8.0,6.5625,13,63.0,1312211.0,1.0,124.541759682586,0.0,5,355,Saturday,Bread,2013,2013-12-21
1310,2013-12-22,7.0,8.1375,12,61.0,1312221.0,1.0,41.7300439888931,0.0,6,356,Sunday,Bread,2013,2013-12-22
1316,2013-12-23,3.0,5.4875,10,,1312231.0,1.0,183.608991270752,0.0,0,357,Monday,Bread,2013,2013-12-23
1322,2013-12-24,7.0,11.4375,18,61.0,1312241.0,1.0,220.330670230618,0.0,1,358,Tuesday,Bread,2013,2013-12-24
1329,2013-12-27,7.0,5.7625,15,63.0,1312271.0,1.0,152.367434643543,0.0,4,361,Friday,Bread,2013,2013-12-27
1335,2013-12-29,7.0,5.7125,9,63.0,1312291.0,1.0,131.267289010755,0.0,6,363,Sunday,Bread,2013,2013-12-29
1341,2013-12-30,4.0,4.75,11,10.0,1312301.0,1.0,126.58984459848,0.0,0,364,Monday,Bread,2013,2013-12-30
1346,2013-12-31,4.0,5.0375,7,,1312311.0,1.0,211.390838466052,0.0,1,365,Tuesday,Bread,2013,2013-12-31
395,2013-07-01,6.0,17.8375,15,20.0,1307012.0,2.0,535.856284785361,0.0,0,182,Monday,Roles,2013,2013-07-01
400,2013-07-02,3.0,17.3125,10,,1307022.0,2.0,546.780787392297,0.0,1,183,Tuesday,Roles,2013,2013-07-02
405,2013-07-03,7.0,21.075,6,61.0,1307032.0,2.0,427.343258749983,0.0,2,184,Wednesday,Roles,2013,2013-07-03
410,2013-07-04,7.0,18.85,7,20.0,1307042.0,2.0,454.859641347987,0.0,3,185,Thursday,Roles,2013,2013-07-04
415,2013-07-05,5.0,19.975,12,,1307052.0,2.0,492.818804066088,0.0,4,186,Friday,Roles,2013,2013-07-05
420,2013-07-06,0.0,18.9625,8,,1307062.0,2.0,631.906068038484,0.0,5,187,Saturday,Roles,2013,2013-07-06
425,2013-07-07,0.0,21.375,9,,1307072.0,2.0,695.25572963054,0.0,6,188,Sunday,Roles,2013,2013-07-07
430,2013-07-08,0.0,22.725,10,5.0,1307082.0,2.0,538.529249911711,0.0,0,189,Monday,Roles,2013,2013-07-08
435,2013-07-09,0.0,23.275,8,,1307092.0,2.0,585.957264698849,0.0,1,190,Tuesday,Roles,2013,2013-07-09
440,2013-07-10,2.0,19.6875,13,5.0,1307102.0,2.0,567.365764527953,0.0,2,191,Wednesday,Roles,2013,2013-07-10
445,2013-07-11,0.0,21.375,12,5.0,1307112.0,2.0,569.109374584873,0.0,3,192,Thursday,Roles,2013,2013-07-11
450,2013-07-12,0.0,20.2875,7,,1307122.0,2.0,600.267914678783,0.0,4,193,Friday,Roles,2013,2013-07-12
454,2013-07-13,1.0,20.125,12,,1307132.0,2.0,747.140776382576,0.0,5,194,Saturday,Roles,2013,2013-07-13
459,2013-07-14,5.0,17.6875,15,5.0,1307142.0,2.0,777.048841669282,0.0,6,195,Sunday,Roles,2013,2013-07-14
464,2013-07-15,6.0,18.7375,12,,1307152.0,2.0,596.995099998235,0.0,0,196,Monday,Roles,2013,2013-07-15
469,2013-07-16,1.0,21.1875,10,,1307162.0,2.0,558.797138274201,0.0,1,197,Tuesday,Roles,2013,2013-07-16
474,2013-07-17,5.0,22.5125,8,,1307172.0,2.0,628.325718978073,0.0,2,198,Wednesday,Roles,2013,2013-07-17
478,2013-07-18,1.0,23.25,11,5.0,1307182.0,2.0,647.822253705942,0.0,3,199,Thursday,Roles,2013,2013-07-18
483,2013-07-19,3.0,22.475,16,5.0,1307192.0,2.0,646.788959790823,0.0,4,200,Friday,Roles,2013,2013-07-19
488,2013-07-20,0.0,23.1875,8,,1307202.0,2.0,843.051280035386,0.0,5,201,Saturday,Roles,2013,2013-07-20
493,2013-07-21,0.0,26.375,8,,1307212.0,2.0,815.942264195776,0.0,6,202,Sunday,Roles,2013,2013-07-21
498,2013-07-22,0.0,26.1,9,,1307222.0,2.0,647.682748973215,0.0,0,203,Monday,Roles,2013,2013-07-22
503,2013-07-23,0.0,24.95,12,,1307232.0,2.0,691.043662205889,0.0,1,204,Tuesday,Roles,2013,2013-07-23
508,2013-07-24,3.0,24.075,11,,1307242.0,2.0,698.340862077002,0.0,2,205,Wednesday,Roles,2013,2013-07-24
513,2013-07-25,2.0,23.0875,9,,1307252.0,2.0,681.250768331783,0.0,3,206,Thursday,Roles,2013,2013-07-25
518,2013-07-26,3.0,27.2625,6,,1307262.0,2.0,718.016648132155,0.0,4,207,Friday,Roles,2013,2013-07-26
